Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
226,ZINC000000005048_docked,N/A,-6.570,ZINC000000005048_docked.dlg,True
227,ZINC000000002669_docked,N/A,-6.560,ZINC000000002669_docked.dlg,True
228,ZINC000000005784_docked,N/A,-6.560,ZINC000000005784_docked.dlg,True
229,ZINC000000003931_docked,N/A,-6.560,ZINC000000003931_docked.dlg,True
230,ZINC000000000831_docked,N/A,-6.550,ZINC000000000831_docked.dlg,True
231,ZINC000000004075_docked,N/A,-6.540,ZINC000000004075_docked.dlg,True
232,ZINC000000001102_docked,N/A,-6.520,ZINC000000001102_docked.dlg,True
233,ZINC000000006846_docked,N/A,-6.520,ZINC000000006846_docked.dlg,True
234,ZINC000000000850_docked,N/A,-6.520,ZINC000000000850_docked.dlg,True
235,ZINC000000002999_docked,N/A,-6.510,ZINC000000002999_docked.dlg,True
236,ZINC000000002008_docked,N/A,-6.510,ZINC000000002008_docked.dlg,True
237,ZINC000000004842_docked,N/A,-6.490,ZINC000000004842_docked.dlg,True
238,ZINC000000006400_docked,N/A,-6.480,ZINC000000006400_docked.dlg,True
239,ZINC000000001856_docked,N/A,-6.480,ZINC000000001856_docked.dlg,True
240,ZINC000000003975_docked,N/A,-6.480,ZINC000000003975_docked.dlg,True
241,ZINC000000003826_docked,N/A,-6.470,ZINC000000003826_docked.dlg,True
242,ZINC000000000076_docked,N/A,-6.460,ZINC000000000076_docked.dlg,True
243,ZINC000000005824_docked,N/A,-6.460,ZINC000000005824_docked.dlg,True
244,ZINC000000003268_docked,N/A,-6.450,ZINC000000003268_docked.dlg,True
245,ZINC000000002007_docked,N/A,-6.450,ZINC000000002007_docked.dlg,True
246,ZINC000000001575_docked,N/A,-6.440,ZINC000000001575_docked.dlg,True
247,ZINC000000002320_docked,N/A,-6.430,ZINC000000002320_docked.dlg,True
248,ZINC000000000617_docked,N/A,-6.410,ZINC000000000617_docked.dlg,True
249,ZINC000000005171_docked,N/A,-6.400,ZINC000000005171_docked.dlg,True
250,ZINC000000000724_docked,N/A,-6.400,ZINC000000000724_docked.dlg,True
251,ZINC000000005331_docked,N/A,-6.390,ZINC000000005331_docked.dlg,True
252,ZINC000000001658_docked,N/A,-6.390,ZINC000000001658_docked.dlg,True
253,ZINC000000003938_docked,N/A,-6.380,ZINC000000003938_docked.dlg,True
254,ZINC000000006310_docked,N/A,-6.380,ZINC000000006310_docked.dlg,True
255,ZINC000000002426_docked,N/A,-6.370,ZINC000000002426_docked.dlg,True
256,ZINC000000002493_docked,N/A,-6.370,ZINC000000002493_docked.dlg,True
257,ZINC000000001754_docked,N/A,-6.360,ZINC000000001754_docked.dlg,True
258,ZINC000000008114_docked,N/A,-6.360,ZINC000000008114_docked.dlg,True
259,ZINC000000002226_docked,N/A,-6.360,ZINC000000002226_docked.dlg,True
260,ZINC000000001729_docked,N/A,-6.350,ZINC000000001729_docked.dlg,True
261,ZINC000000007671_docked,N/A,-6.350,ZINC000000007671_docked.dlg,True
262,ZINC000000005879_docked,N/A,-6.350,ZINC000000005879_docked.dlg,True
263,ZINC000000001860_docked,N/A,-6.340,ZINC000000001860_docked.dlg,True
264,ZINC000000004494_docked,N/A,-6.340,ZINC000000004494_docked.dlg,True
265,ZINC000000005516_docked,N/A,-6.340,ZINC000000005516_docked.dlg,True
266,ZINC000000005160_docked,N/A,-6.330,ZINC000000005160_docked.dlg,True
267,ZINC000000001237_docked,N/A,-6.330,ZINC000000001237_docked.dlg,True
268,ZINC000000006014_docked,N/A,-6.330,ZINC000000006014_docked.dlg,True
269,ZINC000000003046_docked,N/A,-6.320,ZINC000000003046_docked.dlg,True
270,ZINC000000002127_docked,N/A,-6.320,ZINC000000002127_docked.dlg,True
271,ZINC000000000704_docked,N/A,-6.320,ZINC000000000704_docked.dlg,True
272,ZINC000000007322_docked,N/A,-6.320,ZINC000000007322_docked.dlg,False
273,ZINC000000004674_docked,N/A,-6.310,ZINC000000004674_docked.dlg,True
274,ZINC000000002463_docked,N/A,-6.310,ZINC000000002463_docked.dlg,True
275,ZINC000000001174_docked,N/A,-6.300,ZINC000000001174_docked.dlg,True
276,ZINC000000001306_docked,N/A,-6.270,ZINC000000001306_docked.dlg,True
277,ZINC000000005988_docked,N/A,-6.270,ZINC000000005988_docked.dlg,True
278,ZINC000000003267_docked,N/A,-6.260,ZINC000000003267_docked.dlg,True
279,ZINC000000000011_docked,N/A,-6.260,ZINC000000000011_docked.dlg,True
280,ZINC000000000045_docked,N/A,-6.250,ZINC000000000045_docked.dlg,True
281,ZINC000000000660_docked,N/A,-6.240,ZINC000000000660_docked.dlg,True
282,ZINC000000004103_docked,N/A,-6.240,ZINC000000004103_docked.dlg,True
283,ZINC000000000957_docked,N/A,-6.210,ZINC000000000957_docked.dlg,True
284,ZINC000000000826_docked,N/A,-6.200,ZINC000000000826_docked.dlg,True
285,ZINC000000005743_docked,N/A,-6.200,ZINC000000005743_docked.dlg,True
286,ZINC000000001408_docked,N/A,-6.200,ZINC000000001408_docked.dlg,True
287,ZINC000000001912_docked,N/A,-6.180,ZINC000000001912_docked.dlg,True
