Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
64,ZINC000537662559_docked,C[C@@H]1C[C@H](c2cccc(F)c2)N(C(=O)c2ccc(S(C)(=O)=O)c(Br)c2)C1,-10.59,ZINC000537662559_docked.dlg,TRUE
65,ZINC000443326247_docked,Cc1ccc([C@@H]2OCCC[C@@H]2CNS(=O)(=O)c2ccc(F)cc2C#N)cc1,-10.58,ZINC000443326247_docked.dlg,TRUE
66,ZINC000516774821_docked,CS(=O)(=O)c1cc(C(=O)Nc2ccccc2Oc2cccc(F)c2)cc([N+](=O)[O-])c1,-10.58,ZINC000516774821_docked.dlg,TRUE
67,ZINC000808044213_docked,Cc1ccc(N(C(=O)COc2cc(F)cc(C#N)c2)[C@@H]2C=CS(=O)(=O)C2)cc1C,-10.58,ZINC000808044213_docked.dlg,FALSE
68,ZINC000589925332_docked,CS(=O)(=O)N1CCc2cc(C(=O)Nc3cc(F)ccc3Oc3ccccc3)ccc21,-10.58,ZINC000589925332_docked.dlg,TRUE
69,ZINC001213360150_docked,C[C@H]1CN(Cc2ccccc2)C[C@@H]1CNS(=O)(=O)c1ccc(F)cc1C#N,-10.58,ZINC001213360150_docked.dlg,FALSE
70,ZINC000751478991_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N[C@H](C)[C@@H](O)c2cccc(F)c2)c1,-10.57,ZINC000751478991_docked.dlg,TRUE
71,ZINC000443109180_docked,N#Cc1cc(F)ccc1S(=O)(=O)NCc1cccc(COCc2ccccc2)c1,-10.57,ZINC000443109180_docked.dlg,TRUE
72,ZINC001289011874_docked,CS(=O)(=O)c1ccc(C(=O)N(Cc2cccc(F)c2)C2CCC2)cc1Br,-10.57,ZINC001289011874_docked.dlg,FALSE
73,ZINC000598539018_docked,CS(=O)(=O)c1ccc(C(=O)N2C[C@]34CCCC[C@]3(COC4)C2)cc1[N+](=O)[O-],-10.56,ZINC000598539018_docked.dlg,TRUE
74,ZINC000448033583_docked,COc1cc([C@H](C)N[C@@H]2C[C@H](C(C)C)c3ccccc32)ccc1S(C)(=O)=O,-10.55,ZINC000448033583_docked.dlg,TRUE
75,ZINC000583343401_docked,N#Cc1cc(F)cc(OCC(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)c1,-10.55,ZINC000583343401_docked.dlg,TRUE
76,ZINC001211509741_docked,CS(=O)(=O)c1ccc(CNS(=O)(=O)[C@@H]2C[C@@H]2c2cccc(F)c2)cc1Cl,-10.55,ZINC001211509741_docked.dlg,FALSE
77,ZINC000804485151_docked,Cc1ccc([C@@H](O)[C@H](C)NC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)cc1,-10.55,ZINC000804485151_docked.dlg,FALSE
78,ZINC000573427504_docked,CS(=O)(=O)c1ccccc1CC(=O)NCc1ccccc1Oc1ccccc1,-10.53,ZINC000573427504_docked.dlg,TRUE
79,ZINC000462834309_docked,COc1cc([C@H](C)N[C@@H]2c3ccccc3CC[C@@H]2C(C)C)ccc1S(C)(=O)=O,-10.51,ZINC000462834309_docked.dlg,TRUE
80,ZINC000455980155_docked,Cc1ccc(NC(=O)N[C@@H]2C[C@@H]2c2cccc(F)c2)c(S(C)(=O)=O)c1,-10.5,ZINC000455980155_docked.dlg,TRUE
81,ZINC000452068888_docked,C[C@H](NS(=O)(=O)Cc1ccc(F)cc1C#N)[C@H]1CCC[C@@H](C)C1,-10.5,ZINC000452068888_docked.dlg,TRUE
82,ZINC000560613923_docked,Cc1ccc(NC(=O)C2(c3cc(F)cc(C#N)c3)CC2)cc1S(C)(=O)=O,-10.5,ZINC000560613923_docked.dlg,TRUE
83,ZINC000545364683_docked,N#CC1(CS(=O)(=O)NCc2ccccc2Oc2cccc(F)c2)CCCC1,-10.49,ZINC000545364683_docked.dlg,TRUE
84,ZINC000590755326_docked,CC(C)(CCN1CCCCCC1)NS(=O)(=O)Cc1ccc(F)cc1C#N,-10.48,ZINC000590755326_docked.dlg,TRUE
