Ligand Number	Confidence Score
39927	0.5674
15954	0.5673
19165	0.5673
37091	0.5672
37159	0.5670
29014	0.5670
27456	0.5670
3579	0.5667
24466	0.5667
10687	0.5664
11685	0.5663
9838	0.5663
12307	0.5662
36996	0.5660
1413	0.5658
9533	0.5657
40793	0.5655
37285	0.5654
674	0.5654
20300	0.5650
2932	0.5645
2039	0.5643
25237	0.5641
28759	0.5638
35664	0.5637
7442	0.5637
39229	0.5635
4275	0.5634
18399	0.5633
37822	0.5633
22951	0.5633
30082	0.5629
6714	0.5629
24280	0.5627
20319	0.5625
25265	0.5625
9236	0.5625
15170	0.5624
10310	0.5624
2871	0.5623
23379	0.5621
19290	0.5620
20284	0.5619
14249	0.5619
25882	0.5616
21442	0.5615
2892	0.5615
6640	0.5614
8816	0.5612
19734	0.5611
21638	0.5610
2535	0.5609
1917	0.5608
16879	0.5608
26924	0.5606
398	0.5606
34132	0.5605
1550	0.5605
6503	0.5605
6608	0.5604
8098	0.5604
30364	0.5604
3665	0.5603
4004	0.5603
30670	0.5602
24705	0.5602
15854	0.5601
5649	0.5601
24607	0.5600
23624	0.5600
18211	0.5600
32698	0.5599
16241	0.5598
30361	0.5596
29972	0.5596
11084	0.5595
12979	0.5595
12784	0.5594
7366	0.5594
15872	0.5594
30981	0.5594
7764	0.5594
28232	0.5594
12228	0.5592
29779	0.5592
14329	0.5591
37006	0.5591
38775	0.5591
10134	0.5589
26078	0.5589
9319	0.5588
18226	0.5588
22099	0.5587
21644	0.5585
1723	0.5584
8974	0.5584
39145	0.5583
11768	0.5583
40102	0.5583
31548	0.5582
26396	0.5580
22054	0.5580
16083	0.5579
4464	0.5579
16774	0.5576
18186	0.5576
205	0.5573
7888	0.5572
26721	0.5571
33361	0.5571
36555	0.5570
28076	0.5570
31867	0.5570
13918	0.5569
1173	0.5568
40629	0.5567
28138	0.5567
36158	0.5566
39247	0.5565
16429	0.5559
40020	0.5559
29309	0.5558
32988	0.5557
12816	0.5555
20891	0.5555
5122	0.5555
7399	0.5550
36463	0.5550
13824	0.5550
2210	0.5550
11274	0.5549
28470	0.5549
13963	0.5548
40556	0.5546
18973	0.5546
12130	0.5545
29141	0.5543
30047	0.5542
20173	0.5541
38871	0.5541
2203	0.5541
37920	0.5540
695	0.5539
1277	0.5538
10651	0.5536
25948	0.5535
39745	0.5535
8275	0.5535
35275	0.5534
11477	0.5533
15982	0.5533
12004	0.5533
36077	0.5532
20268	0.5532
30499	0.5529
4780	0.5528
15482	0.5528
1018	0.5527
15318	0.5527
1433	0.5526
18123	0.5526
25421	0.5526
16051	0.5525
